id_geography,id_borough,zipcode,latitude,longitude
4052,3,11225,40.665691233343,-73.950901784124
14837,4,11101,40.75180294914,-73.939501338959
15571,4,11372,40.75558212959,-73.885149926454
12718,1,10011,40.740966091414,-73.997932223491
9620,1,10002,40.719718307529,-73.988524446734
11455,1,10003,40.730688875082,-73.986133970566
20961,2,10472,40.828518474267,-73.879820171947
22422,2,10467,40.865693182355,-73.867337161105
16018,1,10022,40.757510580115,-73.970881478995
16299,1,10111,40.7587402,-73.9786736
538,3,11214,40.586198487515,-73.988162247681
8164,3,11249,40.710755470624,-73.967922564566
14074,1,10001,40.747882202654,-73.987252796195
15273,1,10017,40.754043326774,-73.968526064627
11541,1,10014,40.731326473201,-74.002417467842
6792,4,11435,40.698220263051,-73.806359821833
21875,2,10457,40.851880404854,-73.895339205538
16654,4,11362,40.760189479339,-73.731612502881
5234,3,11217,40.680438439273,-73.974837933912
12204,4,11367,40.736954548646,-73.814683434373
3357,3,11226,40.650110183329,-73.960780368158
10340,1,10003,40.724516414766,-73.991435104559
10624,4,11367,40.726346102347,-73.821669075826
11863,1,10014,40.733697952566,-74.002294872356
8004,3,11211,40.709404757242,-73.958476562381
17637,1,"",40.7641964,-73.9617361
21415,2,10461,40.840249056015,-73.829555730982
7941,3,11211,40.708724168904,-73.958794398093
8400,3,11249,40.712749245872,-73.962417087806
12769,1,10010,40.741383151339,-73.993890457889
17392,1,10019,40.763192765105,-73.990246066614
9226,4,11375,40.717680937564,-73.856994616372
16575,1,10036,40.759906884359,-73.986283082385
18039,1,10021,40.766242540347,-73.95635437449
7456,4,11385,40.704497172094,-73.910535711087
12012,1,10003,40.734990566823,-73.993349792265
17038,4,11354,40.761673794176,-73.830584230826
19546,1,10024,40.78785534499,-73.977527276446
18846,1,10028,40.775433620871,-73.953532090009
10471,4,11375,40.725471027107,-73.850866141238
18381,4,11362,40.769461566407,-73.736459662983
7775,3,11206,40.707432359652,-73.94201607197
20002,1,10026,40.801465396451,-73.948395674795
20034,1,10025,40.80251553642,-73.967997372023
19259,1,10128,40.781527823222,-73.949061146832
2467,3,11220,40.635092336041,-74.023311006826
5412,3,11231,40.682230793964,-74.000331705475
7636,3,11237,40.70633113204,-73.922464549501
21520,2,10457,40.843211391855,-73.903445214682
19083,1,10128,40.778412158684,-73.948236683921
17573,4,11354,40.763961680113,-73.808824869434
2058,3,11209,40.628540600084,-74.023009695231
7618,4,11412,40.706169176024,-73.75732737148
8848,1,10007,40.715195109911,-74.009505194241
10367,4,11375,40.724745445793,-73.850128170458
14788,1,10168,40.751594155541,-73.976449558859
13551,1,10016,40.745533488686,-73.975336549083
11876,4,11373,40.733840182011,-73.871577033806
3279,3,11220,40.647747900349,-74.007574816996
20345,2,10465,40.811657057444,-73.805389088739
11054,1,10003,40.728765015721,-73.98810435231
18987,1,10028,40.777285764692,-73.952155130566
10606,1,10009,40.726299732684,-73.98411447017
3830,3,11203,40.661102908946,-73.931369604033
2124,5,10302,40.629807292028,-74.140398981449
3344,3,11220,40.649688338499,-74.009232753452
22929,2,10466,40.889958197447,-73.820071093679
2822,3,11236,40.639810621164,-73.906634035202
22438,1,10034,40.866074127087,-73.920166127839
15390,4,11372,40.754695353925,-73.893460379625
19275,1,10024,40.78197639914,-73.979190289769
16991,1,10019,40.761444001217,-73.986726769862
16560,1,10019,40.759859007645,-73.978385041076
8207,3,11211,40.711045571367,-73.950182906736
7861,3,11211,40.70804573975,-73.950650446915
14481,1,10001,40.749924909282,-73.995120399211
7955,4,11423,40.708816702334,-73.778436391703
13742,4,11101,40.746392659289,-73.944197946158
20797,1,10031,40.824397652502,-73.948200773795
4254,3,11212,40.669412191657,-73.912457449189
12728,1,10016,40.74100854542,-73.981566825062
8742,1,10007,40.714673757035,-74.00743094739
13923,1,10001,40.747303461364,-73.991637878373
14136,4,11373,40.748231064796,-73.876648820648
2015,5,10303,40.627046160643,-74.165009081887
11480,1,10003,40.730864106929,-73.982922693026
11500,1,10014,40.731021738647,-74.004571518949
14812,4,11368,40.751678510406,-73.855502907424
17432,4,11106,40.7633079547,-73.92819546732
11531,4,11374,40.731235835358,-73.860212759238
16302,1,10112,40.758747437799,-73.978692223615
7285,4,11385,40.703131194602,-73.908225700854
21703,2,10461,40.847437069993,-73.83110231601
22816,2,10463,40.88330150061,-73.897759580633
5356,4,11434,40.681529534431,-73.765371047756
11719,4,11375,40.732762100863,-73.849503885151
693,3,11223,40.592115616554,-73.960731747329
5489,3,11238,40.683103826457,-73.965156044334
22615,2,10468,40.872767958441,-73.889629288265
11149,1,10003,40.729198789009,-73.989114527273
21417,2,10452,40.840340726441,-73.917999756594
1206,3,11214,40.608256200073,-74.001390172729
4588,4,"",40.6743114,-73.80136929999999
20582,2,10465,40.818691786523,-73.817038183416
2291,3,11209,40.632719965457,-74.027287676331
10810,4,11374,40.727237885744,-73.85453866675
11830,4,11374,40.733428169799,-73.864170033452
8386,4,11379,40.712659524605,-73.8798495165
15269,1,10017,40.754027772142,-73.972056060847
23010,2,10466,40.901412337671,-73.846892197665
7251,3,11237,40.702915970307,-73.925602688528
6158,3,11201,40.690443053672,-73.995092315563
22777,2,10469,40.880989666233,-73.839442778397
17103,1,10065,40.761962134319,-73.960252193945
3460,3,11203,40.651419721938,-73.936832188809
10314,1,10012,40.724352007366,-74.003073830174
9407,1,10013,40.718513586926,-74.00885271823
2178,3,11209,40.630794248541,-74.022088182803
10208,1,10009,40.723357851029,-73.988347038953
4950,4,11420,40.677931261106,-73.820090140859
18209,4,11103,40.767578504673,-73.912003004071
20682,2,10451,40.821331472276,-73.927370260806
20988,2,10451,40.829028434834,-73.928496459645
2816,3,11218,40.639745295786,-73.967668576794
10622,1,10012,40.726339223675,-73.997135335426
5663,4,11419,40.68480703551,-73.830974977951
21247,2,10461,40.835816181281,-73.833217126245
17380,1,10019,40.7631374512,-73.986170507874
12329,1,10003,40.737924286365,-73.988016106288
3524,3,11239,40.652787375036,-73.876959313735
15306,4,11377,40.754306338769,-73.897283372662
5159,3,11217,40.679936058477,-73.974445138877
9081,3,11249,40.716792178083,-73.962075706378
20757,2,10451,40.823843412413,-73.908824574067
22656,2,10468,40.875021689755,-73.892858229156
12725,4,11373,40.740999294431,-73.879881212866
13938,1,10001,40.747358659306,-74.000678498132
828,5,10305,40.598095023382,-74.083123962959
16397,1,10036,40.759193669729,-73.990452406045
2733,5,10301,40.63825413729,-74.079030603954
12097,4,11101,40.735876279729,-73.936621911316
12848,1,10011,40.741907469119,-74.004658878425
13085,4,11373,40.743164819528,-73.887924934808
20689,2,10451,40.821737103048,-73.930860054782
16363,4,11354,40.759037589792,-73.831612499712
9994,1,10012,40.721774687105,-73.997590095253
3180,3,11232,40.645426063739,-73.999239661964
15902,1,10017,40.756918956059,-73.976285239113
740,3,11229,40.594291852423,-73.940717614927
1093,3,11223,40.604947584235,-73.970109171348
18729,1,10028,40.7743965772,-73.948225375305
1723,3,11228,40.620736454628,-74.008173300473
7199,3,11201,40.702500453669,-73.989403824533
9445,4,11375,40.718748570733,-73.840293278717
4994,3,11233,40.678454686599,-73.914039072106
3849,3,11225,40.661598505715,-73.950292064313
6930,3,11221,40.700012129513,-73.925800690435
19009,1,10028,40.777554272404,-73.951021184625
20498,1,"",40.8164218,-73.9466138
10910,1,10009,40.727669518523,-73.98521817883
845,3,11229,40.598485863559,-73.95956847892
7854,3,11237,40.708000639734,-73.923486958272
17001,4,11355,40.761515405866,-73.813409158444
14097,4,11101,40.748013369495,-73.946939475755
8438,3,11211,40.712978079064,-73.957471536068
5318,3,11216,40.681228919588,-73.949758192038
11240,1,10014,40.729589027438,-74.002825116086
19169,4,11360,40.779911255442,-73.775353595063
22593,2,10467,40.871419633272,-73.865785363035
20506,1,10030,40.816516772708,-73.946620913128
9767,1,10002,40.720530409068,-73.985443437944
1458,5,10305,40.614377077489,-74.066338239826
12920,4,11373,40.742286201217,-73.869474827199
2696,3,11218,40.637769243149,-73.968350520581
14877,1,10018,40.751930690046,-73.986941620315
19493,1,10029,40.786633639113,-73.950375302618
15230,4,11368,40.75380980000001,-73.84248180000002
12414,1,10011,40.738808648069,-73.99576715008
5071,4,11413,40.679136829986,-73.753946965123
6300,4,11412,40.692043862965,-73.760930930391
6639,3,11206,40.695651395805,-73.946847878172
6224,4,11421,40.691326717266,-73.867032745444
5190,3,11216,40.680170220439,-73.945468586833
1256,3,11214,40.609762895048,-74.006781747562
7355,3,11237,40.70368330811,-73.928025504583
13861,4,11372,40.747050017419,-73.889322281844
22581,1,10034,40.87114206339,-73.914168674823
15009,4,11101,40.752629971693,-73.914885018662
20059,1,10025,40.803329420525,-73.963611914951
14590,1,10001,40.750509164767,-73.989479170444
6101,3,11221,40.689846186718,-73.922703753159
20775,2,10459,40.824060416604,-73.893103194472
14894,1,10016,40.752001281953,-73.981354432981
4433,3,11213,40.672067960345,-73.930806721015
17740,1,10019,40.764626562701,-73.977914191497
10500,1,10009,40.725681090382,-73.977689029855
8468,4,11432,40.713205892595,-73.781448175966
8929,1,10013,40.71570053367,-73.998683331195
3667,3,11232,40.656866296267,-74.001740789064
13271,4,11368,40.744018853318,-73.858493281499
18861,1,10075,40.775577501812,-73.964443126559
2776,3,11219,40.638937269372,-73.994465567672
20460,2,10455,40.815291865115,-73.900212741351
17915,1,10019,40.76544868973,-73.98750212227
22922,2,10466,40.889439965331,-73.831277296077
11269,1,10012,40.729718065704,-73.999660841088
4318,4,11420,40.670260942913,-73.820950841132
13815,1,10016,40.746836141972,-73.984741130165
16216,1,10022,40.758268177392,-73.971054408587
11890,1,10014,40.733939513785,-74.000483512602
16017,1,10017,40.757509172347,-73.97673983586
19227,1,10128,40.78082813766,-73.949574425471
20399,1,"",40.8134365,-73.9451902
21637,1,10033,40.846187471379,-73.9359995443
20073,1,10026,40.803899675204,-73.954126199879
9592,1,10002,40.719613829552,-73.986875826118
15984,1,10018,40.757357634315,-73.993416132521
16850,4,11354,40.760903124243,-73.832871186863
21222,2,10456,40.835255356069,-73.907959626701
12493,4,11368,40.739443188018,-73.860621289179
18271,4,11103,40.76848367892,-73.911229224144
22008,2,10462,40.854416937911,-73.864232878038
4496,3,11215,40.673040136741,-73.983773915023
18696,4,11105,40.774057078823,-73.913247249135
20355,2,10465,40.812003407086,-73.835567392061
4400,3,11213,40.671705667342,-73.930835937715
8047,1,10006,40.70982336275,-74.012000464132
6551,3,11201,40.694528905214,-73.983271014845
18269,1,10019,40.768431984928,-73.9853426732
16761,1,10036,40.760580050424,-73.994762250179
15091,4,11101,40.753068276318,-73.921377667644
16540,4,11354,40.759777908235,-73.829235428489
4544,3,11213,40.673780611026,-73.930657130826
6706,4,11385,40.69694030128,-73.906456352297
22895,2,10463,40.887271122201,-73.905037404907
20474,2,10455,40.815793780282,-73.916989643867
3456,3,11203,40.65138734626,-73.937859308837
2472,3,11220,40.635128016011,-74.023321828157
19336,1,10024,40.783397982989,-73.97812460062
18837,1,10028,40.775325010202,-73.956543368639
8306,3,11211,40.711881349934,-73.94146029978
8619,1,10002,40.714086567576,-73.996623638233
19586,1,10029,40.788732693517,-73.948824490922
5443,3,11231,40.682614864632,-73.993257686691
21261,1,10032,40.83612090723,-73.943381554249
10436,1,"",40.725257,-73.9903489
18733,1,10028,40.77442530508,-73.951146252048
12788,1,10016,40.741535477197,-73.981180546098
16281,4,11355,40.758671536159,-73.829079451028
17388,1,10022,40.763188856654,-73.968500066847
9408,1,10013,40.718519394966,-73.997694829896
4015,3,11213,40.66496761798,-73.931470144522
1909,3,11230,40.62500713944,-73.962989032481
8691,1,10002,40.71442941923,-73.991786308278
18471,4,11370,40.770520879085,-73.892644310003
3910,3,11212,40.66300349881,-73.916629035213
11536,1,10003,40.731287180283,-73.985697258364
4718,3,11238,40.675643182321,-73.956157929789
4839,3,11238,40.676886421168,-73.963583830873
8547,1,10002,40.713748839149,-73.993727069175
11341,1,10003,40.730033566227,-73.994172933544
20437,1,10027,40.814647218976,-73.959057318676
14728,1,10018,40.751148206248,-73.985079407093
2138,5,10310,40.630005781724,-74.109402065029
2779,3,11220,40.638980926117,-74.009494296081
5445,3,11233,40.682646024762,-73.934974498019
18759,4,11105,40.774715056089,-73.908722403566
14166,1,10001,40.748373980278,-73.992536406355
1999,3,11210,40.626700138021,-73.947565858869
16820,1,10065,40.760760235711,-73.961144525151
18651,4,11102,40.773215793475,-73.927029402052
19740,1,10025,40.793538197266,-73.970750090651
